Local_Date_Time,RIC,Price,Volume
2021-07-06,AAPL.O,142.02,4643344
2021-07-07,AAPL.O,144.57,5635607
2021-07-08,AAPL.O,143.24,5484186
2021-07-09,AAPL.O,145.11,6106773
2021-07-12,AAPL.O,144.5,5623920
2021-07-13,AAPL.O,145.64,3276790
2021-07-14,AAPL.O,149.15,5173691
2021-07-15,AAPL.O,148.48,4528274
2021-07-16,AAPL.O,146.39,4199331
2021-07-19,AAPL.O,142.45,6117092
2021-07-20,AAPL.O,146.15,8002861
2021-07-21,AAPL.O,145.4,4496317
2021-07-22,AAPL.O,146.8,3217301
2021-07-23,AAPL.O,148.56,3870352
2021-07-26,AAPL.O,148.99,6199596
2021-07-27,AAPL.O,146.77,5642119
2021-07-28,AAPL.O,144.98,2983649
2021-07-29,AAPL.O,145.64,3333302
2021-07-30,AAPL.O,145.86,6017447
2021-08-02,AAPL.O,145.52,2343681
2021-08-03,AAPL.O,147.36,3421559
2021-08-04,AAPL.O,146.95,4066374
2021-08-05,AAPL.O,147.06,2437868
2021-08-06,AAPL.O,146.14,4610418
2021-08-09,AAPL.O,146.09,3143322
2021-08-10,AAPL.O,145.6,7034205
2021-08-11,AAPL.O,145.86,2612839
2021-08-12,AAPL.O,148.89,4682618
2021-08-13,AAPL.O,149.1,2814121
2021-08-16,AAPL.O,151.12,4217101
2021-08-17,AAPL.O,150.19,4252133
2021-08-18,AAPL.O,146.36,4984498
2021-08-19,AAPL.O,146.7,3220501
2021-08-20,AAPL.O,148.19,5266754
2021-08-23,AAPL.O,149.71,4093787
2021-08-24,AAPL.O,149.62,2174945
2021-08-25,AAPL.O,148.36,4005270
2021-08-26,AAPL.O,147.54,2776138
2021-08-27,AAPL.O,148.6,5199571
2021-08-30,AAPL.O,153.12,3851460
2021-08-31,AAPL.O,151.83,12475728
2021-09-01,AAPL.O,152.51,4166754
2020-09-01,ADBE.O,527.95,221919
2020-09-02,ADBE.O,533.8,223817
2020-09-03,ADBE.O,507.8,430539
2020-09-04,ADBE.O,491.94,238992
2020-09-08,ADBE.O,462.13,461721
2020-09-09,ADBE.O,479.46,321346
2020-09-10,ADBE.O,476.26,268510
2020-09-11,ADBE.O,471.35,216893
2020-09-14,ADBE.O,485.91,304481
2020-09-15,ADBE.O,497.67,228803
2020-09-16,ADBE.O,476.0,347258
2020-09-17,ADBE.O,474.3,283751
2020-09-18,ADBE.O,467.55,977039
2020-09-21,ADBE.O,475.64,460459
2020-09-22,ADBE.O,486.78,260393
2020-09-23,ADBE.O,470.39,450544
2020-09-24,ADBE.O,467.67,169927
2020-09-25,ADBE.O,479.78,261952
2020-09-28,ADBE.O,488.51,292886
2020-09-29,ADBE.O,489.33,164648
2020-09-30,ADBE.O,490.43,622579
2020-10-01,ADBE.O,499.51,194119
2020-10-02,ADBE.O,478.99,264177
2020-10-05,ADBE.O,486.47,194670
2020-10-06,ADBE.O,478.98,227634
2020-10-07,ADBE.O,493.15,276358
2020-10-08,ADBE.O,490.84,149486
2020-10-09,ADBE.O,502.16,234476
2020-10-12,ADBE.O,510.89,331808
2020-10-13,ADBE.O,514.31,224927
2020-10-14,ADBE.O,506.31,189970
2020-10-15,ADBE.O,501.15,252455
2020-10-16,ADBE.O,502.82,557828
2020-10-19,ADBE.O,495.2,250733
2020-10-20,ADBE.O,494.58,182923
2020-10-21,ADBE.O,495.96,165354
2020-10-22,ADBE.O,483.6,130146
2020-10-23,ADBE.O,488.5,145760
2020-10-26,ADBE.O,475.2,155589
2020-10-27,ADBE.O,478.56,217169
2020-10-28,ADBE.O,456.97,327802
2020-10-29,ADBE.O,461.11,237834
2020-10-30,ADBE.O,447.1,361749
2020-11-02,ADBE.O,444.94,192963
2020-11-03,ADBE.O,454.02,212225
2020-11-04,ADBE.O,487.23,293863
2020-11-05,ADBE.O,496.47,251175
2020-11-06,ADBE.O,494.63,219385
2020-11-09,ADBE.O,471.14,364547
2020-11-10,ADBE.O,452.0,500642
2020-11-11,ADBE.O,467.75,274958
2020-11-12,ADBE.O,462.58,163173
2020-11-13,ADBE.O,469.34,197006
2020-11-16,ADBE.O,460.95,203536
2020-11-17,ADBE.O,467.95,276388
2020-11-18,ADBE.O,459.47,244085
2020-11-19,ADBE.O,466.41,685461
2020-11-20,ADBE.O,462.92,275320
2020-11-23,ADBE.O,460.61,339150
2020-11-24,ADBE.O,462.7,258185
2020-11-25,ADBE.O,470.08,224601
2020-11-27,ADBE.O,477.03,115007
2020-11-30,ADBE.O,478.47,495284
2020-12-01,ADBE.O,479.15,265969
2020-12-02,ADBE.O,481.26,224557
2020-12-03,ADBE.O,484.28,386305
2020-12-04,ADBE.O,486.0,228029
2020-12-07,ADBE.O,492.25,420109
2020-12-08,ADBE.O,495.28,212688
2020-12-09,ADBE.O,483.74,414023
2020-12-10,ADBE.O,476.87,282311
2020-12-11,ADBE.O,475.91,235066
2020-12-14,ADBE.O,486.42,611471
2020-12-15,ADBE.O,482.64,296373
2020-12-16,ADBE.O,489.9,277824
2020-12-17,ADBE.O,495.36,246079
2020-12-18,ADBE.O,502.95,1404643
2020-12-21,ADBE.O,498.39,363604
2020-12-22,ADBE.O,504.17,133597
2020-12-23,ADBE.O,496.91,178640
2020-12-24,ADBE.O,499.86,47253
2020-12-28,ADBE.O,498.95,192753
2020-12-29,ADBE.O,502.11,216130
2020-12-30,ADBE.O,497.45,156978
2020-12-31,ADBE.O,500.12,311812
2021-01-04,ADBE.O,485.34,428050
2021-01-05,ADBE.O,485.69,220828
2021-01-06,ADBE.O,466.31,336664
2021-01-07,ADBE.O,477.74,417242
2021-01-08,ADBE.O,485.1,271494
2021-01-11,ADBE.O,474.24,356486
2021-01-12,ADBE.O,471.65,273739
2021-01-13,ADBE.O,472.05,183427
2021-01-14,ADBE.O,463.27,257833
2021-01-15,ADBE.O,458.08,306104
2021-01-19,ADBE.O,456.5,272894
2021-01-20,ADBE.O,469.73,301300
2021-01-21,ADBE.O,472.02,214751
2021-01-22,ADBE.O,472.44,231729
2021-01-25,ADBE.O,473.44,183491
2021-01-26,ADBE.O,476.28,160067
2021-01-27,ADBE.O,460.0,408313
2021-01-28,ADBE.O,465.67,259578
2021-01-29,ADBE.O,458.77,372060
2021-02-01,ADBE.O,470.0,265352
2021-02-02,ADBE.O,484.93,227494
2021-02-03,ADBE.O,481.92,260785
2021-02-04,ADBE.O,489.38,182015
2021-02-05,ADBE.O,492.12,125749
2021-02-08,ADBE.O,493.76,160512
2021-02-09,ADBE.O,496.05,145187
2021-02-10,ADBE.O,492.67,247468
2021-02-11,ADBE.O,496.62,152313
2021-02-12,ADBE.O,498.84,171913
2021-02-16,ADBE.O,501.64,144676
2021-02-17,ADBE.O,491.23,164279
2021-02-18,ADBE.O,488.37,168076
2021-02-19,ADBE.O,479.12,245601
2021-02-22,ADBE.O,467.33,303602
2021-02-23,ADBE.O,467.8,317627
2021-02-24,ADBE.O,476.62,205452
2021-02-25,ADBE.O,459.16,272952
2021-02-26,ADBE.O,459.67,462029
2021-03-01,ADBE.O,469.57,303489
2021-03-02,ADBE.O,466.59,276805
2021-03-03,ADBE.O,448.45,291587
2021-03-04,ADBE.O,439.06,314137
2021-03-05,ADBE.O,440.83,419693
2021-03-08,ADBE.O,421.2,342361
2021-03-09,ADBE.O,439.18,387757
2021-03-10,ADBE.O,437.01,183622
2021-03-11,ADBE.O,451.06,268373
2021-03-12,ADBE.O,444.3,202737
2021-03-15,ADBE.O,447.59,263977
2021-03-16,ADBE.O,450.54,314379
2021-03-17,ADBE.O,451.01,230484
2021-03-18,ADBE.O,439.18,305360
2021-03-19,ADBE.O,441.5,1089221
2021-03-22,ADBE.O,452.41,383153
2021-03-23,ADBE.O,460.2,463320
2021-03-24,ADBE.O,451.51,303903
2021-03-25,ADBE.O,450.99,210706
2021-03-26,ADBE.O,469.09,264842
2021-03-29,ADBE.O,469.32,201729
2021-03-30,ADBE.O,465.46,255898
2021-03-31,ADBE.O,475.37,550810
2021-04-01,ADBE.O,483.34,198288
2021-04-05,ADBE.O,491.62,235759
2021-04-06,ADBE.O,491.34,166731
